Sample,Year,Month,Day,Bulk vs. Seq,Sample,Study Site,,pH,pH stat,NH4,NH4 stat,Ordinal date,Na,Mg,K,Ca,Total Al,Si,S,ICP,,Cl,SO4,NO3,IC,Total N,TN,DON,,DOC,DOC,,Ca_Al Ratio,ADP,
40758,2008,7,21,Seq,TF,Yp,TF_Yp_Seq1_21 Jul 08,7.37,D,42.68,D,733244,944.32,135.78,146.80,295.91,1.11,196.51,,D,40758,40.80,155.62,122.53,D,272.68,D,107.48,40758 1:1,1431.93,D,Y,133.292792793,N/A,
40759,2008,7,21,Seq,TF,Yp,TF_Yp_Seq2_21 Jul 08,6.20,D,12.31,D,733244,62.20,64.18,70.33,90.32,0.00,17.44,,D,40759,22.19,69.13,32.66,D,74.99,D,30.02,40759 1:1,777.51,D,Y,N/A,N/A,
40760,2008,7,21,Seq,TF,Yp,TF_Yp_Seq3_21 Jul 08,6.73,D,6.55,D,733244,80.03,46.08,54.22,61.38,0.00,20.65,,D,40760,20.56,56.42,25.26,D,42.78,D,10.97,40760 1:1,710.64,D,Y,N/A,N/A,
40761,2008,7,21,Seq,TF,Yp,TF_Yp_Seq4_21 Jul 08,6.82,D,8.87,D,733244,63.07,45.26,55.75,69.86,0.00,15.66,,D,40761,22.02,57.37,23.40,D,43.65,D,11.39,40761 1:1,708.32,D,Y,N/A,N/A,
40762,2008,7,21,Seq,TF,Yp,TF_Yp_Seq5_21 Jul 08,6.69,D,7.40,D,733244,54.37,38.68,52.43,54.39,0.00,13.88,,D,40762,21.48,56.10,22.50,D,36.29,D,6.39,40762 1:1,684.64,D,Y,N/A,N/A,
40763,2008,7,21,Seq,TF,Yp,TF_Yp_Seq6_21 Jul 08,6.77,D,9.73,D,733244,70.90,45.26,54.22,66.87,0.00,17.80,,D,40763,11.69,17.72,10.15,D,45.39,D,25.52,40763 1:1,675.63,D,Y,N/A,N/A,
40764,2008,7,21,Seq,TF,Yp,TF_Yp_Seq7_21 Jul 08,6.55,D,8.22,D,733244,65.46,40.32,46.29,54.14,0.00,17.27,,D,40764,39.90,57.30,22.80,D,40.43,D,9.40,40764 1:1,627.38,D,Y,N/A,N/A,
40765,2008,7,21,Seq,TF,Yp,TF_Yp_Seq8_21 Jul 08,6.60,D,6.39,D,733244,16.53,23.86,28.90,42.91,0.00,6.05,,D,40765,16.48,36.20,14.58,D,24.20,D,3.23,40765 1:1,547.81,D,Y,N/A,N/A,
40766,2008,7,21,Bulk,SF,Be,SF_Be_Bulk_21 Jul 08,6.11,D,36.38,D,733244,10.44,18.93,87.72,25.45,0.00,18.87,,D,40766,12.66,69.18,29.91,D,83.15,D,16.87,40766,658.84,D,Y,N/A,N/A,
40767,2008,7,21,Seq,SF,Be,SF_Be_Seq1_21 Jul 08,6.35,D,35.41,D,733244,14.35,22.22,65.22,31.94,0.00,38.80,,D,40767,15.18,55.80,25.71,D,82.12,D,20.99,40767,724.27,D,Y,N/A,N/A,
40768,2008,7,21,Seq,SF,Be,SF_Be_Seq2_21 Jul 08,6.20,D,40.93,D,733244,8.70,17.28,105.88,20.46,0.00,4.98,,D,40768,13.32,26.26,13.76,D,83.54,D,28.86,40768,599.69,D,Y,N/A,N/A,
40769,2008,7,21,Bulk,SF,Yp,SF_Yp_Bulk_21 Jul 08,5.89,D,60.33,D,733244,46.11,166.22,442.96,155.19,5.93,5.70,,D,40769,39.64,289.51,63.42,D,248.08,D,124.32,40769 5:35,852.61,D,Y,13.0851602024,N/A,
40770,2008,7,21,Seq,SF,Yp,SF_Yp_Seq1_21 Jul 08,6.58,D,110.34,D,733244,114.83,139.89,427.61,136.73,3.34,28.12,,D,40770,46.46,243.69,83.40,D,271.18,D,77.45,40770 5:35,492.53,D,Y,20.4685628743,N/A,
40771,2008,7,21,Seq,SF,Yp,SF_Yp_Seq2_21 Jul 08,6.30,D,26.92,D,733244,33.93,139.07,418.92,126.25,5.19,3.20,,D,40771,47.19,285.50,63.73,D,227.22,D,136.57,40771 5:35,658.42,D,Y,12.1628131021,N/A,
40772,2008,7,21,Seq,SF,Yp,SF_Yp_Seq5_21 Jul 08,6.05,D,48.48,D,733244,30.88,142.36,405.11,134.23,5.56,4.27,,D,40772,33.55,272.52,57.56,D,228.96,D,122.92,40772,4784.72,D,Y,12.0710431655,N/A,
40773,2008,7,21,Seq,SF,Yp,SF_Yp_Seq6_21 Jul 08,5.75,D,46.99,D,733244,41.32,166.22,433.50,152.20,6.30,7.12,,D,40773,25.10,150.15,32.73,D,242.66,D,162.93,40773,5723.38,D,Y,12.0793650794,N/A,
40774,2008,7,21,Seq,SF,Yp,SF_Yp_Seq7_21 Jul 08,5.77,D,57.62,D,733244,34.80,171.98,445.52,158.18,7.04,5.70,,D,40774,40.53,304.28,63.07,D,267.55,D,146.86,40774,5549.62,D,Y,11.234375,N/A,
40775,2008,7,21,Seq,SF,Yp,SF_Yp_Seq8_21 Jul 08,5.85,D,57.70,D,733244,39.15,172.80,448.33,163.67,6.67,5.70,,D,40775,44.47,305.09,63.99,D,260.02,D,138.33,40775,5606.04,D,Y,12.2691154423,N/A,
40776,2008,7,21,Bulk,LL,LL,LL_Be_Bulk_21 Jul 08,6.23,D,208.09,D,733244,19.57,371.94,375.70,429.64,4.45,58.74,,D,40776,69.79,233.23,640.45,D,860.75,D,12.21,40776,3974.52,D,Y,48.2741573034,N/A,
40777,2008,7,21,Bulk,LL,LL,LL_Yp_Bulk_21 Jul 08,6.77,D,4.13,D,733244,26.53,148.94,444.75,157.19,4.45,23.85,,D,40777,59.59,168.83,92.57,D,218.03,D,121.33,40777,4074.19,D,Y,17.6617977528,N/A,
41123,2008,7,10,Bulk,BP,BP,BP_Bulk_10Jul08,7.37,D,8.20,D,733233,120.92,17.69,13.55,37.92,0.00,20.47,,D,41123,12.26,44.47,21.57,D,48.41,D,18.64,41123,152.52,D,Y,N/A,N/A,
41124,2008,7,10,Bulk,TF,Be,TF_Be_Bulk_10Jul08,5.76,D,197.51,D,733233,17.83,664.89,503.57,739.02,9.27,126.38,,D,41124,28.52,234.50,1214.84,D,1531.35,D,119.00,41124,4644.41,D,Y,39.8608414239,N/A,
41125,2008,7,10,Bulk,TF,Yp,TF_Yp_Bulk_10Jul08,6.47,D,87.91,D,733233,137.89,78.17,132.48,131.24,1.85,0.71,,D,41125,26.73,175.60,88.30,D,250.88,D,74.67,41125,1155.27,D,Y,35.4702702703,N/A,
41126,2008,7,10,Bulk,SF,Be,SF_Be_Bulk_10Jul08,6.06,D,343.11,D,733233,17.83,28.80,464.95,53.39,1.85,13.88,,D,41126,39.18,348.77,162.08,D,611.27,D,106.08,41126,3016.30,D,Y,14.4297297297,N/A,
41127,2008,7,10,Bulk,SF,Yp,SF_Yp_Bulk_10Jul08,6.11,D,62.21,D,733233,51.76,390.87,992.05,487.52,8.15,6.05,,D,41127,97.22,678.70,317.73,D,580.42,D,200.49,41127,6289.86,D,Y,29.909202454,N/A,
41128,2008,7,10,Bulk,LL,LL,LL_Be_10Jul08,6.62,D,74.99,D,733233,247.06,84.76,192.84,151.20,1.48,10.68,,D,41128,33.19,196.06,104.53,D,228.03,D,48.51,41128,1557.81,D,Y,51.0810810811,N/A,
41129,2008,7,10,Bulk,LL,LL,LL_Yp_10Jul08,6.74,D,15.41,D,733233,17.83,138.24,630.94,156.69,6.30,74.40,,D,41129,29.21,216.48,76.34,D,195.05,D,103.31,41129,3788.60,D,Y,12.4357142857,N/A,
41130,2008,7,24,Bulk,BP,BP,BP_Bulk_24 Jul 08,6.84,D,11.07,D,733247,3.91,16.46,60.36,28.94,0.00,0.00,,D,41130,8.50,45.34,25.69,D,71.22,D,34.46,41130,239.67,D,Y,N/A,N/A,
41131,2008,7,24,Seq,BP,BP,BP_Seq1_24 Jul 08,7.55,D,12.84,D,733247,748.58,120.96,18.93,255.99,0.00,665.01,,D,41131,6.77,58.62,27.98,D,74.01,D,33.18,41131,399.43,D,Y,N/A,N/A,
41132,2008,7,24,Seq,BP,BP,BP_Seq2_24 Jul 08,7.61,D,18.62,D,733247,489.99,143.18,19.95,228.04,0.00,857.60,,D,41132,8.96,73.18,37.86,D,79.49,D,23.01,41132,372.65,D,Y,N/A,N/A,
41133,2008,7,24,Seq,BP,BP,BP_Seq3_24 Jul 08,6.83,D,35.07,D,733247,147.02,91.34,9.97,130.74,0.00,247.06,,D,41133,7.16,67.78,34.78,D,88.64,D,18.79,41133,298.46,D,Y,N/A,N/A,
41134,2008,7,24,Seq,BP,BP,BP_Seq4_24 Jul 08,7.00,D,21.29,D,733247,159.20,71.59,5.12,111.78,0.00,187.61,,D,41134,5.82,54.39,24.01,D,58.18,D,12.89,41134,297.51,D,Y,N/A,N/A,
41135,2008,7,24,Seq,BP,BP,BP_Seq5_24 Jul 08,7.01,D,17.68,D,733247,124.40,60.07,2.81,91.82,0.00,153.44,,D,41135,5.03,46.22,19.67,D,53.44,D,16.09,41135,273.26,D,Y,N/A,N/A,
41136,2008,7,24,Bulk,TF,Be,TF_Be_Bulk_24 Jul 08,6.95,D,50.08,D,733247,15.66,23.86,98.72,38.42,0.00,10.68,,D,41136,15.49,68.25,42.47,D,116.16,D,23.61,41136,554.53,D,Y,N/A,N/A,
41137,2008,7,24,Seq,TF,Be,TF_Be_Seq1_24 Jul 08,6.92,D,81.40,D,733247,298.39,143.18,209.46,165.17,0.74,267.36,,D,41137,30.69,120.03,68.12,D,196.42,D,46.90,41137,1260.33,D,Y,111.601351351,N/A,
41138,2008,7,24,Seq,TF,Be,TF_Be_Seq2_24Jul 08,7.04,D,71.35,D,733247,153.11,114.38,203.83,140.22,0.00,191.17,,D,41138,22.85,144.38,80.09,D,193.76,D,42.32,41138,1234.09,D,Y,N/A,N/A,
41139,2008,7,24,Seq,TF,Be,TF_Be_Seq3_24 Jul 08,6.74,D,34.14,D,733247,10.00,38.68,95.14,47.41,0.00,5.34,,D,41139,9.34,78.33,38.63,D,87.34,D,14.57,41139,657.31,D,Y,N/A,N/A,
41140,2008,7,24,Seq,TF,Be,TF_Be_Seq4_24 Jul 08,6.79,D,31.57,D,733247,16.53,27.98,54.47,37.43,0.00,12.46,,D,41140,7.49,56.64,24.26,D,69.87,D,14.04,41140,450.49,D,Y,N/A,N/A,
41141,2008,7,24,Seq,TF,Be,TF_Be_Seq5_24 Jul 08,7.01,D,24.75,D,733247,6.31,19.75,37.08,27.69,0.00,0.36,,D,41141,5.96,44.36,18.00,D,48.77,D,6.02,41141,391.68,D,Y,N/A,N/A,
41142,2008,7,24,Bulk,TF,Yp,TF_Yp_Bulk_24 Jul 08,6.51,D,26.06,D,733247,9.57,31.27,79.54,45.41,0.74,0.00,,D,41142,10.45,62.63,31.12,D,77.36,D,20.18,41142,1025.41,D,Y,30.6824324324,N/A,
41143,2008,7,24,Seq,TF,Yp,TF_Yp_Seq1_24Jul 08,7.48,D,19.91,D,733247,451.06,142.36,84.91,211.08,0.37,437.52,,D,41143,14.72,72.39,50.58,D,134.49,D,64.00,41143,1023.41,D,Y,285.243243243,N/A,
41144,2008,7,24,Seq,TF,Yp,TF_Yp_Seq2_24 Jul 08,7.37,D,32.12,D,733247,328.40,149.76,95.65,191.12,0.00,584.55,,D,41144,13.89,100.54,58.62,D,136.01,D,45.27,41144,1405.30,D,Y,N/A,N/A,
41145,2008,7,24,Seq,TF,Yp,TF_Yp_Seq3_24 Jul 08,7.29,D,15.27,D,733247,63.07,51.02,50.89,72.85,0.00,42.01,,D,41145,6.97,58.06,26.38,D,73.52,D,31.87,41145,664.86,D,Y,N/A,N/A,
41146,2008,7,24,Bulk,SF,Be,SF_Be_Bulk_24 Jul 08,6.64,D,112.77,D,733247,12.61,32.92,297.18,43.41,0.00,97.90,,D,41146,22.21,165.23,109.07,D,249.56,D,27.71,41146,1228.66,D,Y,N/A,N/A,
41147,2008,7,24,Bulk,SF,Yp,SF_Yp_Bulk_24 Jul 08,6.52,D,70.15,D,733247,43.93,148.12,452.93,136.73,5.93,13.53,,D,41147,16.78,254.41,44.15,D,229.34,D,115.04,41147,4323.97,D,Y,11.5286677909,N/A,
41148,2008,7,24,Bulk,LL,LL,LL_Be_Bulk_24Jul 08,6.03,D,84.08,D,733247,4.78,523.35,313.81,651.69,15.57,186.19,,D,41148,19.69,141.35,608.19,D,858.38,D,166.11,41148 5:35,6605.18,D,Y,20.9277456647,N/A,
41149,2008,7,24,Bulk,LL,LL,LL_Yp_Bulk_24 Jul 08,6.69,D,4.56,D,733247,10.44,108.62,222.76,119.76,4.82,40.23,,D,41149,9.54,61.91,12.21,D,104.06,D,87.29,41149 5:35,3406.93,D,Y,12.4232365145,N/A,
41150,2008,8,10,Bulk,BP,BP,BP_Bulk_10Aug 08,7.11,D,35.16,D,733264,27.84,71.59,408.94,69.61,0.93,0.00,,D,41150,22.87,96.08,27.35,D,137.46,D,74.95,41150 5:35,1078.01,D,Y,37.4247311828,N/A,
41151,2008,8,10,Seq,BP,BP,BP_Seq1_10Aug08,7.57,D,36.34,D,733264,2285.33,77.35,179.03,193.61,0.00,589.54,,D,41151,34.92,160.95,20.38,D,136.19,D,79.47,41151 5:35,1400.48,D,Y,N/A,N/A,
41152,2008,8,10,Seq,BP,BP,BP_Seq2_10Aug08,7.54,D,11.59,D,733264,729.01,125.90,170.33,186.13,0.00,535.78,,D,41152,24.95,126.39,22.86,D,85.56,D,51.11,41152 5:35,524.85,D,Y,N/A,N/A,
41153,2008,8,10,Seq,BP,BP,BP_Seq3_10Aug 08,6.71,D,6.70,D,733264,226.18,55.96,65.98,75.85,0.00,75.47,,D,41153,14.13,81.69,22.39,D,55.10,D,26.01,41153 5:35,617.32,D,Y,N/A,N/A,
41154,2008,8,10,Seq,BP,BP,BP_Seq4_10Aug 08,6.7,D,9.37,D,733264,84.38,37.85,52.43,40.42,0.00,28.12,,D,41154,8.88,45.77,13.57,D,43.38,D,20.44,41154 5:35,534.42,D,Y,N/A,N/A,
41155,2008,8,10,Bulk,TF,Be,TF_Be_Bulk_10Aug08,6.48,D,105.31,D,733264,49.59,48.55,167.26,84.83,0.00,0.00,,D,41155,27.94,182.18,93.35,D,216.53,D,17.87,41155 5:35,875.14,D,Y,N/A,N/A,
41156,2008,8,10,Seq,TF,Be,TF_Be_Seq1_10Aug 08,6.99,D,51.66,D,733264,146.58,51.84,107.67,91.32,0.00,32.04,,D,41156,19.91,131.38,50.05,D,140.84,D,39.14,41156 5:35,726.67,D,Y,N/A,N/A,
41157,2008,8,10,Seq,TF,Be,TF_Be_Seq2_10Aug08,6.88,D,7.02,D,733264,33.93,25.51,50.89,46.41,0.00,0.00,,D,41157,8.72,61.20,23.25,D,55.62,D,25.35,41157 5:35,546.67,D,Y,N/A,N/A,
41158,2008,8,10,Seq,TF,Be,TF_Be_Seq3_10Aug 08,6.81,D,1.82,D,733264,25.66,13.99,21.23,25.45,0.00,0.00,,D,41158,5.48,43.04,13.24,D,31.12,D,16.05,41158 5:35,392.37,D,Y,N/A,N/A,
41159,2008,8,10,Bulk,TF,Yp,TF_Yp_Bulk_10Aug08,6.83,D,87.33,D,733264,35.45,51.02,105.37,88.07,0.37,0.00,,D,41159,23.24,139.11,61.95,D,165.47,D,16.19,41159 5:35,766.37,D,Y,119.013513514,N/A,
41160,2008,8,10,Seq,TF,Yp,TF_Yp_Seq1_10Aug08,7.90,D,70.09,D,733264,1362.76,228.76,180.05,421.66,0.00,443.93,,D,41160,30.17,217.98,110.09,D,283.55,D,103.37,41160 5:35,1651.77,D,Y,N/A,N/A,
41161,2008,8,10,Seq,TF,Yp,TF_Yp_Seq2_10Aug08,7.36,D,51.65,D,733264,39.15,83.93,73.14,116.27,0.00,13.88,,D,41161,19.99,127.30,54.28,D,133.21,D,27.29,41161 5:35,871.23,D,Y,N/A,N/A,
41162,2008,8,10,Bulk,SF,Be,SF_Be_Bulk_10Aug08,7.33,D,516.88,D,733264,149.63,246.86,780.55,283.93,0.00,73.34,,D,41162,55.60,987.13,261.17,D,878.60,D,100.56,41162 1:1,1826.06,D,Y,N/A,N/A,
41163,2008,8,10,Seq,SF,Be,SF_Be_Seq1_10Aug08,7.21,D,726.51,D,733264,244.45,378.52,1159.06,432.63,2.22,101.46,,D,41163,76.94,1495.36,382.28,D,1228.59,D,119.80,41163 1:1,2622.57,D,Y,97.4391891892,N/A,
41164,2008,8,10,Seq,SF,Be,SF_Be_Seq2_10Aug08,7.33,D,180.38,D,733264,14.35,58.42,237.34,73.35,0.00,29.90,,D,41164,26.30,257.93,90.30,D,285.52,D,14.84,41164 1:1,872.42,D,Y,N/A,N/A,
41165,2008,8,10,Bulk,SF,Yp,SF_Yp_Bulk_10Aug08,7.07,D,44.36,D,733264,61.33,304.47,1060.08,167.17,4.82,4.27,,D,41165,40.11,368.57,88.68,D,245.63,D,112.58,41165 1:1,4604.99,D,Y,17.3412863071,N/A,
41166,2008,8,10,Seq,SF,Yp,SF_Yp_Seq1_10Aug08,7.21,D,19.50,D,733264,66.55,246.04,928.63,107.78,1.85,12.82,,D,41166,27.09,207.12,52.23,D,140.92,D,69.19,41166 1:1,2925.35,D,Y,29.1297297297,N/A,
41167,2008,8,10,Seq,SF,Yp,SF_Yp_Seq2_10Aug08,7.50,D,10.08,D,733264,55.68,268.26,1013.03,114.27,2.59,4.27,,D,41167,23.31,224.84,56.47,D,150.68,D,84.14,41167 1:1,3066.80,D,Y,22.0598455598,N/A,
41168,2008,8,10,Bulk,LL,LL,LL_Be_Bulk_10Aug08,7.05,D,166.02,D,733264,22.40,341.50,501.91,314.12,5.93,38.45,,D,41168,77.49,382.13,251.65,D,507.90,D,90.23,41168 1:1,3967.04,D,Y,26.4856661046,N/A,
41169,2008,8,10,Bulk,LL,LL,LL_Yp_Bulk_10Aug08,6.70,D,200.72,D,733264,13.05,402.39,392.32,481.04,6.30,50.20,,D,41169,54.06,349.89,526.65,D,839.27,D,111.91,41169 1:1,3422.14,D,Y,38.1777777778,N/A,
41170,2008,9,8,Bulk,BP,BP,BP_Bulk_8Sep08,7.51,D,2.17,D,733293,623.31,90.52,36.32,110.28,0.00,390.18,,D,41170,46.24,22.37,4.40,D,31.51,D,24.94,41170 1:1,404.95,D,Y,N/A,12,
41171,2008,9,8,Seq,BP,BP,BP_Seq1_8Sep08,7.44,D,0.45,D,733293,14.35,21.39,4.86,40.92,0.00,58.74,,D,41171,5.64,7.54,4.37,D,9.97,D,5.15,41171 1:1,134.66,D,Y,N/A,12,
41172,2008,9,8,Seq,BP,BP,BP_Seq2_8Sep08,7.93,D,0.48,D,733293,1730.31,123.43,62.15,152.69,0.00,799.93,,D,41172,60.45,35.26,ND,D,35.76,D,35.28,41172 1:1,530.13,D,Y,N/A,12,
41173,2008,9,8,Seq,BP,BP,BP_Seq3_8Sep08,6.91,D,0.55,D,733293,782.08,158.82,50.38,168.16,0.00,586.33,,D,41173,78.23,29.26,ND,D,24.18,D,23.63,41173 1:1,549.78,D,Y,N/A,12,
41174,2008,9,10,Seq,BP,BP,BP_Seq2_10Sep08,7.03,D,0.44,D,733295,94.82,28.80,8.44,78.84,0.00,101.10,,D,41174,8.43,55.31,11.50,D,19.56,D,7.62,41174 1:1,177.63,D,Y,N/A,12,
41175,2008,9,8,Seq,BP,BP,BP_Seq5_8Sep08,7.35,D,-0.33,D,733293,332.75,75.70,22.25,98.30,0.00,259.88,,D,41175,26.76,17.03,ND,D,21.52,D,21.85,41175 1:1,437.39,D,Y,N/A,12,
41176,2008,9,8,Bulk,TF,Be,TF_Be_Bulk_8Sep08,7.36,D,26.84,D,733293,90.47,33.74,81.07,53.39,0.00,55.18,,D,41176,34.52,53.12,28.57,D,69.54,D,14.13,41176 5:35,497.58,D,Y,N/A,12,
41177,2008,9,8,Seq,TF,Be,TF_Be_Seq1_8Sep08,7.28,D,32.06,D,733293,45.45,24.27,54.47,35.18,0.37,30.97,,D,41177,14.10,17.77,9.31,D,63.10,D,21.73,41177 5:35,387.50,D,Y,47.5405405405,12,
41178,2008,9,8,Seq,TF,Be,TF_Be_Seq2_8Sep08,7.04,D,25.11,D,733293,99.17,42.79,150.64,61.38,0.74,53.04,,D,41178,96.87,73.36,33.97,D,90.25,D,31.17,41178 5:35,1042.77,D,Y,41.472972973,12,
41179,2008,9,8,Seq,TF,Be,TF_Be_Seq3_8Sep08,7.06,D,2.05,D,733293,87.86,21.39,75.45,31.44,0.37,43.79,,D,41179,40.30,38.26,7.89,D,28.03,D,18.09,41179 5:35,560.93,D,Y,42.4864864865,12,
41180,2008,9,8,Seq,TF,Be,TF_Be_Seq4_8Sep08,6.38,D,2.15,D,733293,23.49,11.52,34.53,17.47,1.11,8.54,,D,41180,30.68,20.28,ND,D,17.12,D,14.97,41180 5:35,386.39,D,Y,7.86936936937,12,
41181,2008,9,8,Seq,TF,Be,TF_Be_Seq5_8Sep08,6.56,D,4.19,D,733293,23.49,10.70,35.81,14.47,0.74,4.63,,D,41181,32.47,20.81,4.58,D,19.48,D,10.71,41181 5:35,345.47,D,Y,9.77702702703,12,
41182,2008,9,8,Seq,TF,Be,TF_Be_Seq6_8Sep08,6.34,D,0.46,D,733293,20.44,9.05,32.99,13.97,0.37,4.98,,D,41182,27.76,22.56,ND,D,27.98,D,27.52,41182 5:35,417.65,D,Y,18.8783783784,12,
41183,2008,9,8,Seq,TF,Be,TF_Be_Seq7_8Sep08,6.25,D,0.41,D,733293,22.62,9.05,31.71,12.97,0.37,5.34,,D,41183,30.32,20.33,6.37,D,15.87,D,9.09,41183 5:35,334.77,D,Y,17.527027027,12,
41184,2008,9,8,Bulk,TF,Yp,TF_Yp_Bulk_8Sep08,6.70,D,1.61,D,733293,44.80,37.03,90.54,38.92,1.11,30.62,,D,41184,33.72,26.22,7.06,D,33.29,D,24.62,41184 5:35,589.06,D,Y,17.5315315315,12,
41185,2008,9,8,Seq,TF,Yp,TF_Yp_Seq1_8Sep08,7.93,D,6.30,D,733293,13.48,17.28,32.48,19.46,0.74,5.34,,D,41185,6.93,7.22,4.66,D,45.36,D,34.40,41185 5:35,331.57,D,Y,13.1486486486,12,
41186,2008,9,8,Seq,TF,Yp,TF_Yp_Seq2_8Sep08,7.07,D,1.99,D,733293,147.45,126.72,219.95,159.93,3.71,196.16,,D,41186,50.91,45.83,6.23,D,35.27,D,27.05,41186 5:35,1191.11,D,Y,21.5539083558,12,
41187,2008,9,8,Seq,TF,Yp,TF_Yp_Seq3_8Sep08,7.60,D,2.55,D,733293,35.23,31.27,82.35,31.94,1.11,7.48,,D,41187,34.70,27.69,7.34,D,26.80,D,16.91,41187 5:35,652.65,D,Y,14.3873873874,12,
41188,2008,9,8,Seq,TF,Yp,TF_Yp_Seq4_8Sep08,7.27,D,17.07,D,733293,214.44,22.22,59.33,30.94,0.37,77.96,,D,41188,14.75,69.57,21.99,D,54.67,D,15.60,41188 5:35,482.97,D,Y,41.8108108108,12,
41189,2008,9,8,Seq,TF,Yp,TF_Yp_Seq5_8Sep08,6.98,D,2.32,D,733293,28.27,21.39,75.70,24.45,1.11,4.98,,D,41189,36.33,24.46,7.88,D,33.76,D,23.55,41189 5:35,494.19,D,Y,11.0135135135,12,
41190,2008,9,8,Seq,TF,Yp,TF_Yp_Seq6_8Sep08,7.31,D,1.16,D,733293,27.84,21.39,72.12,22.46,0.74,4.63,,D,41190,34.48,25.07,7.79,D,20.72,D,11.77,41190 5:35,578.47,D,Y,15.1756756757,12,
41191,2008,9,8,Seq,TF,Yp,TF_Yp_Seq7_8Sep08,6.74,D,2.05,D,733293,26.10,19.75,75.19,23.45,1.11,4.27,,D,41191,36.05,25.20,8.24,D,22.67,D,12.38,41191 5:35,627.96,D,Y,10.5630630631,12,
41192,2008,9,8,Seq,TF,Yp,TF_Yp_Seq8_8Sep08,6.35,D,2.39,D,733293,27.84,18.93,72.38,21.96,0.74,4.27,,D,41192,35.34,25.61,8.08,D,24.46,D,13.99,41192 5:35,591.39,D,Y,14.8378378378,12,
41193,2008,9,8,Bulk,SF,Be,SF_Be_Bulk_8Sep08,7.25,D,75.18,D,733293,39.58,11.52,179.54,20.46,1.11,95.41,,D,41193,49.99,73.82,36.13,D,149.42,D,38.11,41193 1:1,836.92,D,Y,9.21621621622,12,
41194,2008,9,8,Seq,SF,Be,SF_Be_Seq1_8Sep08,6.81,D,57.49,D,733293,23.05,7.41,109.72,12.48,0.74,24.56,,D,41194,39.23,31.63,10.28,D,108.70,D,40.93,41194 1:1,363.49,D,Y,8.43243243243,12,
41195,2008,9,8,Seq,SF,Be,SF_Be_Seq2_8Sep08,6.44,D,240.63,D,733293,56.55,31.27,500.76,49.90,2.22,312.57,,D,41195,129.46,245.05,128.28,D,485.21,D,116.30,41195 1:1,2817.14,D,Y,11.2387387387,12,
41196,2008,9,8,Seq,SF,Be,SF_Be_Seq3_8Sep08,6.79,D,10.01,D,733293,11.31,2.47,50.64,3.99,0.37,11.04,,D,41196,14.41,9.91,6.27,D,52.98,D,36.70,41196 1:1,218.06,D,Y,5.39189189189,12,
41197,2008,9,8,Bulk,SF,Yp,SF_Yp_Bulk_8Sep08,6.00,D,44.01,D,733293,55.24,392.51,766.74,325.85,13.71,18.16,,D,41197,66.74,569.43,20.47,D,269.55,D,205.07,41197 5:35,10473.58,D,Y,11.8836615609,12,
41198,2008,9,8,Seq,SF,Yp,SF_Yp_Seq1_8Sep08,6.60,D,17.76,D,733293,23.71,141.95,404.60,118.26,5.74,16.02,,D,41198,24.65,177.46,16.39,D,145.41,D,111.26,41198 5:35,4892.69,D,Y,10.3013937282,12,
41199,2008,9,8,Seq,SF,Yp,SF_Yp_Seq2_8Sep08,6.03,D,68.32,D,733293,65.25,580.13,1013.03,470.56,18.90,25.28,,D,41199,88.18,791.31,17.44,D,339.46,D,253.70,41199 5:35,6614.44,D,Y,12.4486772487,12,
41200,2008,9,8,Seq,SF,Yp,SF_Yp_Seq3_8Sep08,5.62,D,39.45,D,733293,47.85,436.13,902.54,371.76,17.05,18.16,,D,41200,71.07,655.96,29.70,D,324.64,D,255.49,41200 5:35,6325.61,D,Y,10.9020527859,12,
41201,2008,9,8,Bulk,LL,LL,LL_Be_Bulk_8Sep08,5.87,D,61.11,D,733293,8.26,310.23,171.35,419.66,10.75,90.07,,D,41201,30.23,100.67,439.90,D,571.65,D,70.64,41201 1:1,3107.99,D,Y,19.5190697674,12,
41202,2008,9,8,Bulk,LL,LL,LL_Yp_Bulk_8Sep08,6.92,D,15.34,D,733293,11.74,117.67,170.59,116.27,4.08,40.94,,D,41202,36.15,69.88,40.75,D,118.97,D,62.88,41202 1:1,2016.47,D,Y,14.2487745098,12,
41203,2008,9,15,Bulk,BP,BP,BP_Bulk_15Sep08,6.92,D,19.27,D,733300,281.43,26.33,8.18,49.90,0.00,81.52,,D,41203,43.97,44.90,19.90,D,72.19,D,33.02,41203 1:1,226.51,D,Y,N/A,61,
41204,2008,9,15,Seq,BP,BP,BP_Seq1_15Sep08,7.90,D,2.86,D,733300,907.78,98.75,13.55,255.49,0.00,857.60,,D,41204,52.60,55.66,ND,D,27.78,D,24.92,41204 1:1,294.11,D,Y,N/A,61,
41205,2008,9,15,Seq,BP,BP,BP_Seq2_15Sep08,7.66,D,0.99,D,733300,75.68,37.85,1.02,66.37,0.00,176.93,,D,41205,12.59,22.29,ND,D,10.04,D,9.06,41205 1:1,150.54,D,Y,N/A,61,
41206,2008,9,15,Seq,BP,BP,BP_Seq3_15Sep08,7.52,D,0.65,D,733300,133.97,68.30,3.58,116.27,0.00,269.49,,D,41206,20.16,44.73,ND,D,18.26,D,17.61,41206 1:1,366.18,D,Y,N/A,61,
